"","cd8_lowsalt_1","cd8_highsalt_1","cd8_lowsalt_2","cd8_highsalt_2","cd8_lowsalt_3","cd8_highsalt_3"
"ENSG00000105612",1329.30400412328,1334.58000976664,1487.14582013014,1195.17798686759,1315.17260001284,1056.23876188749
"ENSG00000105613",34.1335767187017,72.6049732181431,79.5358531428759,38.5436582443756,35.5105733251433,28.6850998805453
"ENSG00000105617",328.608676874308,262.276250111877,320.586163741903,236.374528575294,278.732761473243,259.308917247641
"ENSG00000105618",1618.77941214041,2149.04250448176,1809.48392525039,2040.38164279554,1828.17133286656,2549.84134931824
"ENSG00000105619",900.777530605541,1022.44392243553,798.220764174032,876.457530899661,823.801395144877,972.004265273186
"ENSG00000105639",9817.21687830881,3870.44313547943,10769.1354065479,3719.39248972738,6821.14130005258,2868.99952781955
"ENSG00000105640",29271.3467152025,27077.8291556721,41772.1539992191,25252.9739733909,26962.6765807699,22705.6245047859
"ENSG00000105641",42.388692444022,36.8293659645314,49.8459347752521,56.7329992997321,86.6647508693551,31.7882053476188
"ENSG00000105642",0,3.4133116305621,0,22.3114225664703,1.3813749509735,3.72140655935496
"ENSG00000105643",2471.67227152759,1549.20961103138,1993.18317866617,1326.36902357118,2135.29176497829,1581.51893679228
"ENSG00000105647",585.634887780812,890.714503172312,1031.38560654086,725.858451355826,805.178523660704,838.070838523315
"ENSG00000105649",19.6918387516919,72.4172560121377,30.8481224736622,76.8653707501212,40.6207886432933,85.3052968981317
"ENSG00000105650",1.50306205222728,1.35586860879161,20.8700677168849,11.538000382813,1.02961328919345,0
"ENSG00000105655",438.221282403918,1135.16165972701,631.615663366817,934.858793602851,342.392970336131,709.756368034161
"ENSG00000105656",1489.77328072852,1375.42648844781,1745.58663535892,1235.52778152414,1651.11038692049,1282.31835227263
"ENSG00000105662",485.182962462144,464.311260724067,470.008785038774,436.839453680774,483.175023515538,432.421323599626
"ENSG00000105664",0,0,0,0,0,0
"ENSG00000105668",7.43419873013766,27.2731122805581,5.91733914031807,26.2280985255783,8.63837765128026,12.9046269843991
"ENSG00000105669",3635.2966223349,3157.29327329147,3802.88880699862,2655.36426622696,3421.32290423962,3261.74438993725
"ENSG00000105671",958.752897537515,828.556125353307,1172.14278925128,897.134594736637,887.025944842033,993.720812857692
"ENSG00000105672",19.7458160370863,21.03042940576,13.0076375194207,22.3815021559385,19.6592968498103,23.3195926751891
"ENSG00000105675",3.17003430474594,0,0,0,0,0.855397366976154
"ENSG00000105676",726.067959012054,1167.35027792807,716.524522703258,1225.66568319246,791.335584643668,1582.29452624448
"ENSG00000105677",462.687661613035,699.098807693593,502.224026124407,710.257820107543,509.802931046827,700.798561083606
